model,task,cohort,metric,n,n_positive,ours,baseline,difference,p_raw,test,delong_variance,p_holm105,p_holm3780,p_holm19_conditional,p_holm684_conditional,significant_raw,significant_holm105,significant_holm3780,significant_holm19_conditional,significant_holm684_conditional
Extra trees,1p/19q,Xijing,accuracy,59,5,0.88135593220338981,0.6271186440677966,0.25423728813559321,0.001299738883972168,exact McNemar,,0.11827623844146729,1,0.018196344375610352,0.26904594898223877,True,False,False,True,False
Extra trees,1p/19q,Xijing,f1,59,5,0.46153846153846156,0.21428571428571427,0.24725274725274729,0.024028301239013637,exact paired swap,,1,1,0.24028301239013639,1,True,False,False,False,False
Extra trees,1p/19q,Xijing,mcc,59,5,0.41277045446049859,0.13112775898018506,0.28164269548031351,0.083325386047363281,exact paired swap,,1,1,0.83325386047363281,1,False,False,False,False,False
Extra trees,1p/19q,Xijing,roc_auc,59,5,0.94814814814814807,0.79259259259259263,0.15555555555555545,0.056291228063996689,paired DeLong,0.0096113828713409403,1,1,0.49785030837531224,1,False,False,False,False,False
Gradient boosting,Grade,Development OOF,accuracy,784,521,0.8392857142857143,0.64923469387755106,0.19005102040816324,1.2870465916173124e-21,exact McNemar,,1.2226942620364469e-19,4.5136723968019148e-18,1.8018652282642372e-20,7.850984208865606e-19,True,True,True,True,True
Gradient boosting,Grade,Development OOF,f1,784,521,0.87272727272727268,0.7213779128672746,0.15134935985999809,5.0622276943295816e-19,exact paired swap,,4.6572494787832148e-17,1.7241947526886555e-15,7.0871187720614146e-18,2.9917765673487828e-16,True,True,True,True,True
Gradient boosting,Grade,Development OOF,mcc,784,521,0.66306000754319727,0.25486997131202477,0.4081900362311725,3.3855329646083261e-24,exact paired swap,,3.3178223053161597e-22,1.2137135678120849e-20,5.0782994469124889e-23,2.1599700314201122e-21,True,True,True,True,True
Gradient boosting,Grade,Development OOF,roc_auc,784,521,0.91483911460119827,0.70389642614743519,0.21094268845376307,2.5925964062615644e-26,paired DeLong,0.00039992914220308724,2.2555588734475612e-24,9.4396435151983562e-23,4.4074138906446592e-25,1.6929654532888016e-23,True,True,True,True,True
Gradient boosting,IDH,Development OOF,accuracy,1355,281,0.89446494464944648,0.76457564575645753,0.12988929889298895,9.9688688695294847e-25,exact McNemar,,7.6760290295377035e-23,3.5907865668045207e-21,1.6947077078200123e-23,6.4398892897160467e-22,True,True,True,True,True
Gradient boosting,IDH,Development OOF,f1,1355,281,0.77265500794912556,0.56241426611796985,0.21024074183115571,5.744970692542382e-23,exact paired swap,,4.5385268471084821e-21,2.0383156017140372e-19,9.7664501773220502e-22,3.5963516535315314e-20,True,True,True,True,True
Gradient boosting,IDH,Development OOF,mcc,1355,281,0.71178394409360823,0.43373318668205868,0.27805075741154955,2.6270956427406099e-22,exact paired swap,,2.1016765141924878e-20,9.2762747145170936e-19,4.4660625926590371e-21,1.6261722028564376e-19,True,True,True,True,True
Gradient boosting,IDH,Development OOF,roc_auc,1355,281,0.94594988634631572,0.83451625943524388,0.11143362691107184,2.0107846156255222e-17,paired DeLong,0.00017547138658465655,1.5080884617191416e-15,6.6697725700298566e-14,2.8150984618757314e-16,1.1722874309096795e-14,True,True,True,True,True
Gradient boosting,1p/19q,Development OOF,accuracy,571,90,0.79684763572679507,0.71278458844133097,0.084063047285464099,0.00010062970241782408,exact McNemar,,0.0035220395846238426,0.17368686637316436,0.00030188910725347223,0.026666871140723379,True,True,False,True,True
Gradient boosting,1p/19q,Development OOF,f1,571,90,0.546875,0.3925925925925926,0.1542824074074074,3.0688428992525058e-05,exact paired swap,,0.0016571751655963531,0.057694246505947108,0.00015344214496262529,0.009307861328125,True,True,False,True,True
Gradient boosting,1p/19q,Development OOF,mcc,571,90,0.46396530023727411,0.25477660877718655,0.20918869146008756,3.6371415053993e-05,exact paired swap,,0.0020731706580776011,0.067647367359429444,0.000218228490323958,0.010729567440927935,True,True,False,True,True
