model,task,metric,n,n_positive,ours,baseline,difference,p_raw,test,alternative,delong_variance,test_status,p_holm91,p_holm910,p_holm19_conditional,p_holm190_conditional,significant_raw,significant_holm91,significant_holm910,significant_holm19_conditional,significant_holm190_conditional,numerically_higher
2.5D Hybrid MTL,Grade,spatial_discriminability_ratio,10,7,0.65978936527939713,0.26675886462920978,0.39303050065018735,0.00390625,exact patient swap of medians,greater,,OK,,,0.05859375,0.515625,True,False,False,False,False,True
2.5D Hybrid MTL,Grade,biopsy_strict_5_0_label_correct_fraction,10,7,0.69999999999999996,0.20000000000000001,0.49999999999999994,0.08984375,exact McNemar,greater,,OK,,,0.5390625,1,False,False,False,False,False,True
2.5D Hybrid MTL,Grade,reference_strict_5_0_same_sign_fraction,10,7,0.84999999999999998,0.26093749999999999,0.58906250000000004,0.00390625,exact patient swap of means,greater,,OK,,,0.0390625,0.515625,True,False,False,True,False,True
MFEFNet,Grade,biopsy_local_auc,10,7,0.8571428571428571,0.52380952380952384,0.33333333333333326,0.13116583770417872,paired DeLong (small sample),greater,,OK,,,0.64112150326591366,1,False,False,False,False,False,True
MFEFNet,Grade,biopsy_direction_agreement,10,7,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.109375,exact McNemar,greater,,OK,,,1,1,False,False,False,False,False,True
MFEFNet,Grade,spatial_discriminability_ratio,10,7,0.65978936527939713,0.45172276023683477,0.20806660504256236,0.041015625,exact patient swap of medians,greater,,OK,,,0.08203125,1,True,False,False,False,False,True
MFEFNet,Grade,biopsy_strict_5_0_label_correct_fraction,10,7,0.69999999999999996,0.20000000000000001,0.49999999999999994,0.0625,exact McNemar,greater,,OK,,,0.5,1,False,False,False,False,False,True
MFEFNet,Grade,reference_strict_5_0_same_sign_fraction,10,7,0.84999999999999998,0.65468749999999998,0.1953125,0.01953125,exact patient swap of means,greater,,OK,,,0.09765625,1,True,False,False,False,False,True
MTTU-Net,Grade,biopsy_local_auc,10,7,0.8571428571428571,0.38095238095238093,0.47619047619047616,0.015843194269896874,paired DeLong (small sample),greater,,OK,,,0.23764791404845309,1,True,False,False,False,False,True
MTTU-Net,Grade,biopsy_direction_agreement,10,7,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.109375,exact McNemar,greater,,OK,,,1,1,False,False,False,False,False,True
MTTU-Net,Grade,spatial_discriminability_ratio,10,7,0.65978936527939713,0.34884936865947658,0.31093999661992056,0.00390625,exact patient swap of medians,greater,,OK,,,0.05859375,0.515625,True,False,False,False,False,True
MTTU-Net,Grade,biopsy_strict_5_0_label_correct_fraction,10,7,0.69999999999999996,0.20000000000000001,0.49999999999999994,0.0625,exact McNemar,greater,,OK,,,0.5,1,False,False,False,False,False,True
MTTU-Net,Grade,reference_strict_5_0_same_sign_fraction,10,7,0.84999999999999998,0.5390625,0.31093749999999998,0.0107421875,exact patient swap of means,greater,,OK,,,0.0751953125,1,True,False,False,False,False,True
PrognosAIs WHO-2016 MTL,Grade,biopsy_local_auc,10,7,0.8571428571428571,0.38095238095238093,0.47619047619047616,0.020613416668581838,paired DeLong (small sample),greater,,OK,,,0.26797441669156391,1,True,False,False,False,False,True
PrognosAIs WHO-2016 MTL,Grade,biopsy_direction_agreement,10,7,0.80000000000000004,0.5,0.30000000000000004,0.1875,exact McNemar,greater,,OK,,,1,1,False,False,False,False,False,True
PrognosAIs WHO-2016 MTL,Grade,spatial_discriminability_ratio,10,7,0.65978936527939713,0.21454576362902852,0.44524360165036858,0.001953125,exact patient swap of medians,greater,,OK,,,0.037109375,0.2890625,True,False,False,True,False,True
PrognosAIs WHO-2016 MTL,Grade,biopsy_strict_5_0_label_correct_fraction,10,7,0.69999999999999996,0,0.69999999999999996,0.0078125,exact McNemar,greater,,OK,,,0.1484375,0.9140625,True,False,False,False,False,True
PrognosAIs WHO-2016 MTL,Grade,reference_strict_5_0_same_sign_fraction,10,7,0.84999999999999998,0.234375,0.61562499999999998,0.001953125,exact patient swap of means,greater,,OK,,,0.037109375,0.2890625,True,False,False,True,False,True
ResNet10 3D,Grade,biopsy_local_auc,10,7,0.8571428571428571,0.47619047619047622,0.38095238095238088,0.052426333354675607,paired DeLong (small sample),greater,,OK,,,0.51870839118270795,1,False,False,False,False,False,True
ResNet10 3D,Grade,biopsy_direction_agreement,10,7,0.80000000000000004,0.69999999999999996,0.10000000000000009,0.5,exact McNemar,greater,,OK,,,1,1,False,False,False,False,False,True
