model,task,cohort,n,n_negative,n_positive,estimate_type,roc_auc,accuracy,f1,mcc,sensitivity,specificity,balanced_accuracy,brier,log_loss,roc_auc_rank_of20,accuracy_rank_of20,f1_rank_of20,mcc_rank_of20
GlioMT image-only Transformer,IDH,Xijing,105,88,17,five_fold_probability_ensemble,0.85628342245989308,0.64761904761904765,0.43076923076923079,0.32326144136112134,0.82352941176470584,0.61363636363636365,0.71858288770053469,0.13070106094717265,0.40439614307886745,15,16,17,17
MTTU-Net,IDH,Xijing,105,88,17,five_fold_probability_ensemble,0.95053475935828879,0.72380952380952379,0.52459016393442626,0.46511340861916689,0.94117647058823528,0.68181818181818177,0.81149732620320858,0.082707391277440201,0.27471609755441295,9,11,10,10
MFEFNet,IDH,Xijing,105,88,17,five_fold_probability_ensemble,0.97860962566844922,0.82857142857142863,0.65384615384615385,0.62158156050806102,1,0.79545454545454541,0.89772727272727271,0.05956308104552728,0.19622142682139965,3,4,4,4
2.5D Hybrid MTL,IDH,Xijing,105,88,17,five_fold_probability_ensemble,0.96657754010695185,0.84761904761904761,0.68000000000000005,0.6492207662311682,1,0.81818181818181823,0.90909090909090917,0.063255913460812135,0.22454260142748383,5,2,2,2
AGGN,IDH,Xijing,105,88,17,five_fold_probability_ensemble,0.97593582887700536,0.73333333333333328,0.54838709677419351,0.50751921892255236,1,0.68181818181818177,0.84090909090909083,0.072949954467649195,0.25108004200392459,4,9,6,6
Swin-S,IDH,Xijing,105,88,17,five_fold_probability_ensemble,0.76537433155080214,0.55238095238095242,0.38961038961038963,0.2761501632372711,0.88235294117647056,0.48863636363636365,0.68549465240641716,0.12719015999949537,0.42054420576412133,20,20,20,20
CMTLNet,1p/19q,Development OOF,571,481,90,pooled_out_of_fold,0.72030492030492033,0.72854640980735552,0.42379182156133827,0.29823541449319846,0.6333333333333333,0.74636174636174635,0.68984753984753988,0.14502406911574348,0.76327158911926196,10,2,4,4
ResNet10 3D,1p/19q,Development OOF,571,481,90,pooled_out_of_fold,0.67669207669207665,0.71628721541155871,0.39552238805970147,0.25882212886136358,0.58888888888888891,0.74012474012474017,0.66450681450681448,0.14101599888157071,0.50535743670089561,17,3,9,9
ResNet18 2.5D,1p/19q,Development OOF,571,481,90,pooled_out_of_fold,0.70501270501270497,0.63747810858143605,0.34285714285714286,0.18231681690115933,0.59999999999999998,0.64449064449064453,0.62224532224532225,0.1255043255935083,0.51767308365262554,14,17,18,18
ResNet18 3D,1p/19q,Development OOF,571,481,90,pooled_out_of_fold,0.6912912912912913,0.66199649737302979,0.38338658146964855,0.24481980577299897,0.66666666666666663,0.66112266112266116,0.66389466389466389,0.13036509161221202,0.46221713181050228,16,14,14,14
DenseNet121 3D,1p/19q,Development OOF,571,481,90,pooled_out_of_fold,0.72453222453222454,0.68126094570928197,0.40909090909090912,0.28332705298500888,0.69999999999999996,0.67775467775467779,0.68887733887733882,0.13208915089039661,0.43069556674385462,8,10,7,7
EfficientNet-B0 3D,1p/19q,Development OOF,571,481,90,pooled_out_of_fold,0.71429891429891434,0.65148861646234679,0.34323432343234322,0.18313577451817328,0.57777777777777772,0.66528066528066532,0.62152922152922152,0.1691843211317364,0.87055603721640007,12,16,17,17
PrognosAIs WHO-2016 MTL,1p/19q,Development OOF,571,481,90,pooled_out_of_fold,0.74204204204204205,0.70402802101576178,0.41522491349480967,0.28881913033317902,0.66666666666666663,0.71101871101871106,0.68884268884268884,0.13611230267772961,0.55338222101140033,5,6,5,6
GlioMT image-only Transformer,1p/19q,Development OOF,571,481,90,pooled_out_of_fold,0.63042273042273045,0.63397548161120842,0.32362459546925565,0.15302594951563087,0.55555555555555558,0.64864864864864868,0.60210210210210213,0.13635206419626927,0.48050136470719945,19,18,19,19
MTTU-Net,1p/19q,Development OOF,571,481,90,pooled_out_of_fold,0.73700623700623702,0.65674255691768824,0.3987730061349693,0.27135731666885959,0.72222222222222221,0.64449064449064453,0.68335643335643337,0.12323357636077685,0.41310593466195833,7,15,8,8
MFEFNet,1p/19q,Development OOF,571,481,90,pooled_out_of_fold,0.69898359898359896,0.69877408056042034,0.43790849673202614,0.32659951832826267,0.74444444444444446,0.69022869022869027,0.71733656733656737,0.1310163884450859,0.43066417062905354,15,7,3,3
2.5D Hybrid MTL,1p/19q,Development OOF,571,481,90,pooled_out_of_fold,0.71039501039501041,0.70577933450087571,0.44736842105263158,0.34026059104449857,0.75555555555555554,0.69646569646569645,0.72601062601062605,0.17288336625204792,0.680737376327187,13,5,2,2
AGGN,1p/19q,Development OOF,571,481,90,pooled_out_of_fold,0.64425964425964422,0.69176882661996497,0.39310344827586208,0.256671526382932,0.6333333333333333,0.70270270270270274,0.66801801801801797,0.13306791994490372,0.51337176041837129,18,9,10,10
Swin-S,1p/19q,Development OOF,571,481,90,pooled_out_of_fold,0.57077847077847077,0.67250437828371279,0.28352490421455939,0.10542970858891128,0.41111111111111109,0.7214137214137214,0.56626241626241625,0.13911159292281411,0.51240849911004149,20,12,20,20
CMTLNet,1p/19q,UCSF,404,389,15,five_fold_probability_ensemble,0.83838903170522705,0.87128712871287128,0.23529411764705882,0.23390720847586632,0.53333333333333333,0.88431876606683801,0.70882604970008567,0.039269304054158981,0.15338710370716147,5,1,2,3
ResNet10 3D,1p/19q,UCSF,404,389,15,five_fold_probability_ensemble,0.7532133676092545,0.58910891089108908,0.12631578947368421,0.14537250262553286,0.80000000000000004,0.58097686375321334,0.69048843187660669,0.072671889073115267,0.26663608664210531,13,11,11,9
ResNet18 2.5D,1p/19q,UCSF,404,389,15,five_fold_probability_ensemble,0.83873179091688088,0.5643564356435643,0.12871287128712872,0.15902407166279947,0.8666666666666667,0.5526992287917738,0.70968294772922025,0.036874905231931945,0.15543797765132783,4,14,9,8
ResNet18 3D,1p/19q,UCSF,404,389,15,five_fold_probability_ensemble,0.77446443873179094,0.40346534653465349,0.10408921933085502,0.12380802013231004,0.93333333333333335,0.38303341902313626,0.65818337617823475,0.048316815978806139,0.2076288292825734,11,19,19,15
DenseNet121 3D,1p/19q,UCSF,404,389,15,five_fold_probability_ensemble,0.83410454155955438,0.42821782178217821,0.10810810810810811,0.13224680917546724,0.93333333333333335,0.40874035989717222,0.67103684661525276,0.08525900963462682,0.30864713476522609,7,18,16,13
EfficientNet-B0 3D,1p/19q,UCSF,404,389,15,five_fold_probability_ensemble,0.67043701799485866,0.33663366336633666,0.0945945945945946,0.10147004078864055,0.93333333333333335,0.31362467866323906,0.62347900599828621,0.11069069740275721,0.34935187705306642,17,20,20,17
PrognosAIs WHO-2016 MTL,1p/19q,UCSF,404,389,15,five_fold_probability_ensemble,0.89631533847472156,0.66089108910891092,0.17964071856287425,0.25284205141365068,1,0.6478149100257069,0.82390745501285345,0.044243105351943791,0.16377847155420139,2,7,4,2
